Unnamed: 0,Title,id,rating,genres,Release year
1561,Creepshow 2,16288,R,Horror;Comedy,1987
1562,The Human Centipede (First Sequence),37169,R,Horror,2009
1563,Training Day,2034,R,Action;Crime;Drama,2001
1565,"Love, Simon",449176,PG-13,Comedy;Drama;Romance,2018
1566,"Love, Simon",449176,PG-13,Comedy;Drama;Romance,2018
1567,Kung Fu Panda: Secrets of the Furious Five,15854,PG,Animation;Family;Action,2008
1568,A Witches' Ball,487047,PG,Family;Fantasy;Science Fiction,2017
1569,Sucker Punch,23629,PG-13,Action;Fantasy;Thriller,2011
1571,Homefront,204082,R,Action;Thriller,2013
1572,Tombstone,11969,R,Western;Action,1993
1573,The Road,20766,R,Adventure;Drama,2009
1574,Cold Pursuit,438650,R,Action;Crime;Thriller;Comedy,2019
1575,Original Sin,2057,R,Thriller;Drama;Mystery;Romance,2001
1576,Season of the Witch,23047,PG-13,Adventure;Fantasy;Action,2011
1578,The Blair Witch Project,2667,R,Horror;Mystery,1999
1579,17 Again,16996,PG-13,Comedy;Fantasy;Drama;Romance,2009
1580,Crater,620705,PG,Science Fiction;Action;Adventure;Family,2023
1581,Alvin and the Chipmunks: The Road Chip,258509,PG,Family;Adventure;Comedy;Music;Animation,2015
1582,Sleepless in Seattle,858,PG,Comedy;Drama;Romance,1993
1583,American Assassin,415842,R,Action;Thriller,2017
1584,Saw IV,663,R,Horror;Thriller;Crime,2007
1585,Dolittle,448119,PG,Family;Comedy;Fantasy;Adventure,2020
1586,Ron's Gone Wrong,482321,PG,Animation;Science Fiction;Family;Comedy,2021
1587,Romeo + Juliet,454,PG-13,Drama;Romance,1996
1588,Magnolia,334,R,Drama,1999
1589,What Women Want,3981,PG-13,Comedy;Romance,2000
1590,Scott Pilgrim vs. the World,22538,PG-13,Action;Comedy;Romance,2010
1591,Evolution,9397,PG-13,Comedy;Science Fiction;Action,2001
1592,The Polar Express,5255,G,Animation;Adventure;Family;Fantasy,2004
1594,Hancock,8960,PG-13,Fantasy;Action,2008
1595,Underworld: Evolution,834,R,Fantasy;Action;Thriller,2006
1596,Signs,2675,PG-13,Drama;Thriller;Science Fiction;Mystery,2002
1597,Fantastic Four: Rise of the Silver Surfer,1979,PG,Science Fiction;Adventure;Action,2007
1598,Pandorum,19898,R,Action;Horror;Mystery;Science Fiction;Thriller,2009
1599,Dora and the Lost City of Gold,499701,PG,Adventure;Comedy;Family;Fantasy,2019
1601,The Cabin in the Woods,22970,R,Horror;Mystery;Thriller,2012
1604,The 40 Year Old Virgin,6957,R,Comedy;Romance,2005
1605,Flipped,43949,PG,Romance;Drama,2010
1606,The Living Daylights,708,PG,Action;Adventure;Thriller,1987
1607,Blade of the 47 Ronin,732459,R,Fantasy,2022
1608,Switched Before Birth,888467,PG,TV Movie;Drama,2021
1609,Me Time,862551,R,Comedy,2022
1610,Unstoppable,44048,PG-13,Action;Thriller,2010
1611,The Dreamers,1278,NC-17,Drama;Romance,2003
1612,The Dreamers,1278,NC-17,Drama;Romance,2003
1613,Chip 'n Dale: Rescue Rangers,420821,PG,Animation;Family;Comedy;Adventure;Mystery,2022
1614,The Lego Movie,137106,PG,Animation;Family;Adventure;Comedy;Fantasy,2014
1615,The Other Zoey,912916,PG-13,Romance;Drama;Comedy,2023
1616,A Walk Among the Tombstones,169917,R,Crime;Drama;Mystery;Thriller,2014
1617,Wrath of the Titans,57165,PG-13,Fantasy;Adventure,2012
1618,Face/Off,754,R,Action;Crime;Science Fiction,1997
1619,The Day After Tomorrow,435,PG-13,Action;Adventure;Science Fiction;Thriller,2004
1620,Live Free or Die Hard,1571,PG-13,Action;Thriller,2007
1621,Annabelle,250546,R,Horror,2014
1622,From Straight A's to XXX,441168,PG-13,Drama;TV Movie,2017
1623,Step Up,9762,PG-13,Music;Drama;Romance;Crime,2006
1624,Coming 2 America,484718,PG-13,Comedy,2021
1625,Honest Thief,553604,PG-13,Thriller;Action;Crime,2020
1626,Smurfs: The Lost Village,137116,PG,Animation;Family;Adventure;Comedy,2017
1627,Riley's First Date?,355338,G,Animation;Family,2015
1628,What Lies Beneath,2655,PG-13,Drama;Horror;Mystery;Thriller,2000
1629,Riley's First Date?,355338,G,Animation;Family,2015
1630,What Lies Beneath,2655,PG-13,Drama;Horror;Mystery;Thriller,2000
1631,The Pacifier,10022,PG,Comedy;Family;Action,2005
1632,"The Boy, the Mole, the Fox and the Horse",995133,G,Animation;Family;Adventure;Fantasy,2022
1633,King Kong Lives,31947,PG-13,Fantasy;Action;Adventure,1986
1634,Body of Lies,12113,R,Action;Drama;Thriller,2008
1635,The Bourne Supremacy,2502,PG-13,Action;Drama;Thriller,2004
1636,Molly's Game,396371,R,Drama;Crime,2017
1637,Twelve Monkeys,63,R,Science Fiction;Thriller;Mystery,1995
1638,The Art of Racing in the Rain,522924,PG,Drama;Romance,2019
1639,Guardians of the Galaxy,118340,PG-13,Action;Science Fiction;Adventure,2014
1640,Okja,387426,PG-13,Adventure;Drama;Science Fiction,2017
1641,Shirley,798612,PG-13,History;Drama,2024
1642,Unfrosted,844185,PG-13,Comedy;History,2024
1643,The Pink Panther,12096,PG,Comedy;Mystery;Crime;Adventure;Family,2006
1644,13 Going on 30,10096,PG-13,Comedy;Fantasy;Romance,2004
1646,Imagine Me & You,1544,R,Drama;Comedy;Romance,2006
1647,Stormy,1240928,R,Documentary,2024
1648,Mission to Mars,2067,PG,Science Fiction;Adventure;Mystery,2000
1649,Idiocracy,7512,R,Comedy;Science Fiction;Adventure,2006
1650,Shrapnel,982932,R,Action;Thriller;Drama,2023
1651,Starship Troopers 3: Marauder,11127,R,Adventure;Science Fiction;Action,2008
1652,Mad Max Beyond Thunderdome,9355,PG-13,Action;Adventure;Science Fiction,1985
1653,Mystic River,322,R,Thriller;Crime;Drama;Mystery,2003
1655,Unbroken,227306,PG-13,Drama;War,2014
1656,Unbroken,227306,PG-13,Drama;War,2014
1657,Superman Returns,1452,PG-13,Science Fiction;Action;Adventure,2006
1658,Congo,10329,PG-13,Action;Adventure;Science Fiction,1995
1659,The Hunt for Red October,1669,PG-13,Action;Adventure;Thriller,1990
1660,Risen,335778,PG-13,Action;Adventure;Drama;Fantasy,2016
1661,1917,530915,R,War;Action;Drama;History,2019
1662,Scooby-Doo! The Mystery Begins,22620,PG,Mystery;Comedy;Fantasy,2009
1663,8 Mile,65,R,Drama;Music,2002
1664,GoldenEye,710,PG-13,Adventure;Action;Thriller,1995
1665,Poseidon,503,PG-13,Adventure;Action;Drama;Thriller,2006
1666,Ava,539885,R,Action;Thriller;Crime,2020
1667,Hot Shots! Part Deux,9255,PG-13,Action;Comedy;War,1993
1668,Suspiria,361292,R,Horror;Mystery;Drama,2018
1669,Texas Chainsaw Massacre,632727,R,Horror;Thriller,2022
1670,Texas Chainsaw Massacre,632727,R,Horror;Thriller,2022
1671,Mr. Peabody & Sherman,82703,PG,Animation;Adventure;Family,2014
1672,Shot Caller,339692,R,Crime;Drama;Thriller,2017
1673,Not Another Teen Movie,11397,R,Comedy,2001
1675,Friends with Benefits,50544,R,Romance;Comedy,2011
1677,Heaven Is for Real,236751,PG,Drama,2014
1678,22 Jump Street,187017,R,Crime;Comedy;Action,2014
1679,I Spit on Your Grave 2,207768,R,Thriller;Horror;Crime,2013
1680,King Arthur,9477,PG-13,Adventure;War;History;Action;Drama,2004
1681,Fireproof,14438,PG,Drama;Romance,2008
1682,The Hills Have Eyes,9792,R,Horror;Thriller,2006
1683,Olaf's Frozen Adventure,460793,G,Animation;Family;Adventure;Comedy;Fantasy,2017
1684,Sleepwalkers,11428,R,Horror;Fantasy;Thriller,1992
1685,Let's Be Cops,193893,R,Comedy,2014
1686,Fright Night,11797,R,Comedy;Horror,1985
1687,Don Jon,138697,R,Romance;Comedy;Drama,2013
1688,Jeepers Creepers,8922,R,Horror;Thriller;Mystery;Drama,2001
1689,Anaconda,9360,PG-13,Adventure;Horror;Thriller,1997
1690,Shadow Master,1036561,R,Action;Fantasy;Thriller,2022
1691,Double Impact,9594,R,Thriller;Action;Crime;Drama,1991
1692,Lara Croft: Tomb Raider,1995,PG-13,Adventure;Fantasy;Action;Thriller,2001
1693,21 Jump Street,64688,R,Action;Comedy;Crime,2012
1694,The Ritual,433808,R,Horror;Thriller;Mystery,2017
1695,The Golden Compass,2268,PG-13,Adventure;Fantasy,2007
1696,The Ritual,433808,R,Horror;Thriller;Mystery,2017
1697,The Golden Compass,2268,PG-13,Adventure;Fantasy,2007
1698,Scary Movie 4,4257,PG-13,Comedy,2006
1699,The Book of Life,228326,PG,Animation;Adventure;Comedy;Family;Fantasy,2014
1700,Full Metal Jacket,600,R,Drama;War,1987
1701,Transporter 2,9335,PG-13,Action;Thriller;Crime,2005
1702,Mamma Mia!,11631,PG-13,Comedy;Romance,2008
1703,The Marksman,634528,PG-13,Action;Drama;Thriller,2021
1704,Who Framed Roger Rabbit,856,PG,Fantasy;Animation;Comedy;Crime,1988
1705,The Banshees of Inisherin,674324,R,Drama;Comedy,2022
1706,A Knight's Tale,9476,PG-13,Adventure;Drama;Romance;Action,2001
1707,I.S.S.,790462,R,Science Fiction;Thriller,2024
1708,The Bourne Identity,2501,PG-13,Action;Drama;Mystery;Thriller,2002
1709,Battle: Los Angeles,44943,PG-13,Science Fiction;Action,2011
1711,The Fault in Our Stars,222935,PG-13,Romance;Drama,2014
1712,Brooklyn,167073,PG-13,Romance;Drama,2015
1713,Looney Tunes: Back in Action,10715,PG,Animation;Comedy;Family,2003
1714,The Dry,567797,R,Crime;Thriller;Mystery,2021
1715,The Wrath of Becky,986070,R,Action;Horror;Thriller,2023
1716,Detroit,407448,R,Crime;Drama;Thriller;History,2017
1717,Air,964980,R,Drama,2023
1718,Teen Wolf: The Movie,877703,R,Action;Fantasy;TV Movie,2023
1720,Wicked Little Letters,975773,R,Comedy;Drama;Mystery,2024
1721,Brother Bear 2,10010,G,Adventure;Animation;Family,2006
1722,Colombiana,62835,PG-13,Action;Thriller;Crime;Drama,2011
1723,The Mothman Prophecies,2637,PG-13,Drama;Horror;Mystery,2002
1724,Perfect Addiction,845659,R,Drama;Romance,2023
1725,Horrible Bosses 2,227159,R,Comedy,2014
1726,Sex and the City 2,37786,R,Comedy;Drama;Romance,2010
1728,Fantastic Mr. Fox,10315,PG,Adventure;Animation;Comedy;Family,2009
1729,Hitman's Wife's Bodyguard,522931,R,Action;Comedy;Crime;Thriller,2021
1730,The Transporter Refueled,287948,PG-13,Action;Thriller;Crime,2015
1731,Jackie,376866,R,Drama,2016
1732,Richard Jewell,292011,R,Drama,2019
1733,Minions,211672,PG,Family;Animation;Adventure;Comedy,2015
1735,Tomorrow Never Dies,714,PG-13,Adventure;Action;Thriller,1997
1736,Super 8,37686,PG-13,Thriller;Science Fiction;Mystery,2011
1737,Atonement,4347,R,Drama;Romance,2007
1738,How to Train Your Dragon: Homecoming,638507,PG,Animation;Fantasy;Adventure;Action;Family,2019
1739,Assassin's Creed,121856,PG-13,Action;Adventure;Science Fiction,2016
1740,Brokeback Mountain,142,R,Drama;Romance,2005
1741,Starship Troopers,563,R,Adventure;Action;Thriller;Science Fiction,1997
1743,Deep Impact,8656,PG-13,Action;Drama;Science Fiction,1998
1744,The Contractor,628900,R,Action;Adventure;Thriller,2022
1745,War,10431,R,Action;Thriller,2007
1746,The French Dispatch,542178,R,Drama;Comedy,2021
1747,Project Almanac,227719,PG-13,Science Fiction;Action;Fantasy,2015
1748,The Kill Room,958006,R,Comedy;Crime,2023
1749,Cliffhanger,9350,R,Action;Adventure;Thriller,1993
1750,The Last Witch Hunter,274854,PG-13,Fantasy;Action;Adventure,2015
1751,Finestkind,507532,R,Crime;Drama;Thriller,2023
1752,The Out-Laws,921636,R,Romance;Action;Comedy,2023
1754,Condor's Nest,1062482,R,Action;War,2023
1755,Enemy of the State,9798,R,Action;Drama;Thriller,1998
1756,Zathura: A Space Adventure,6795,PG,Science Fiction;Adventure;Family,2005
1757,Panic Room,4547,R,Crime;Drama;Thriller,2002
1758,The Mule,504172,R,Crime;Drama,2018
1759,Mortal Engines,428078,PG-13,Adventure;Science Fiction,2018
1760,The Guardians of the Galaxy Holiday Special,774752,PG-13,Comedy;Science Fiction;Adventure,2022
1761,Heathers,2640,R,Comedy;Crime,1989
1762,The Mortal Instruments: City of Bones,123553,PG-13,Fantasy;Action;Mystery,2013
1763,Thelma & Louise,1541,R,Drama;Thriller;Crime;Adventure,1991
1764,Home on the Range,13700,PG,Animation;Family,2004
1765,The World's Fastest Indian,9912,PG-13,Drama;Adventure;History,2005
1766,Thir13en Ghosts,9378,R,Horror;Thriller,2001
1767,The Secret Life of Walter Mitty,116745,PG,Adventure;Comedy;Drama;Fantasy,2013
1768,Little Children,1440,R,Drama;Romance,2006
1769,Star Trek: First Contact,199,PG-13,Science Fiction;Action;Adventure;Thriller,1996
1770,"O Brother, Where Art Thou?",134,PG-13,Adventure;Comedy;Crime,2000
1772,Midnight Sun,419478,PG-13,Romance;Drama,2018
1773,Nanny McPhee,11283,PG,Fantasy;Comedy;Family,2005
1774,R.I.P.D. 2: Rise of the Damned,1013860,PG-13,Action;Comedy;Fantasy;Crime,2022
1775,Salt,27576,PG-13,Action;Mystery;Thriller,2010
1776,Serenity,452832,R,Thriller;Mystery;Drama,2019
1777,Salt,27576,PG-13,Action;Mystery;Thriller,2010
1778,Serenity,452832,R,Thriller;Mystery;Drama,2019
1779,The Scorpion King: Book of Souls,522417,PG-13,Action;Adventure;Fantasy,2018
1780,Immortals,37958,R,Fantasy;Action;Drama,2011
1781,Blade: Trinity,36648,R,Action;Horror;Science Fiction,2004
1782,Sniper: Assassin's End,702936,R,Action,2020
1783,The Princess Diaries 2: Royal Engagement,11130,G,Comedy;Drama;Family;Romance,2004
1784,The Core,9341,PG-13,Action;Thriller;Adventure;Science Fiction,2003
1785,Pride and Prejudice and Zombies,58431,PG-13,Romance;Horror;Comedy;Thriller,2016
1786,101 Dalmatians,11674,G,Family;Comedy,1996
